year,mes,id_periodo,inflacion_mes_obs,inflacion_diciembre_obs,inflacion_interanual_obs,tc_mes_obs,tc_diciembre_obs,pib_trimestre_obs,pib_diciembre_obs,tpm_mes_obs,tpm_trimestre_obs,tpm_diciembre_obs
2009,6,2009-6,2.161683838,5.764811032,0.257420215,36.0175,36.1201,-2.40207017,0.94615517,5,5,4
2009,7,2009-7,0.12064592,5.764811032,-1.220814894,36.0789,36.1201,2.36940248,0.94615517,5,4,4
2009,8,2009-8,0.852773057,5.764811032,-0.469583778,36.1232,36.1201,2.36940248,0.94615517,5,4,4
2009,9,2009-9,0.110290739,5.764811032,-1.569371649,36.1359,36.1201,2.36940248,0.94615517,4,4,4
2009,10,2009-10,0.229519234,5.764811032,-0.301360689,36.1631,36.1201,7.083202162,0.94615517,4,4,4
2009,11,2009-11,1.06863703,5.764811032,4.179517845,36.1554,36.1201,7.083202162,0.94615517,4,4,4
2009,12,2009-12,0.096670896,5.764811032,5.764811032,36.1201,36.1201,7.083202162,0.94615517,4,4,4
2010,1,2010-1,1.312850848,6.238305064,6.853195824,36.2316,37.5386,8.875096651,8.339651056,4,4,4
2010,2,2010-2,0.140010128,6.238305064,6.676821528,36.3554,37.5386,8.875096651,8.339651056,4,4,4
2010,3,2010-3,0.859709662,6.238305064,7.426887614,36.4251,37.5386,8.875096651,8.339651056,4,4,4
2010,4,2010-4,0.356879516,6.238305064,7.65677403,36.7313,37.5386,8.524875077,8.339651056,4,4,4
2010,5,2010-5,0.34091577,6.238305064,7.900891221,36.8466,37.5386,8.524875077,8.339651056,4,4,4
2010,6,2010-6,-0.169878742,6.238305064,5.438346842,36.8644,37.5386,8.524875077,8.339651056,4,4,4
2010,7,2010-7,0.343269569,6.238305064,5.672794686,36.9408,37.5386,8.378606387,8.339651056,4,4,4
2010,8,2010-8,0.219291834,6.238305064,5.009037713,37.0148,37.5386,8.378606387,8.339651056,4,4,4
2010,9,2010-9,0.770218228,6.238305064,5.701257765,37.2053,37.5386,8.378606387,8.339651056,4,4,4
2010,10,2010-10,0.674580197,6.238305064,6.170615535,37.3039,37.5386,7.622389996,8.339651056,4.75,5,5
2010,11,2010-11,0.310585799,6.238305064,5.374297626,37.3072,37.5386,7.622389996,8.339651056,5,5,5
2010,12,2010-12,0.917404891,6.238305064,6.238305064,37.5386,37.5386,7.622389996,8.339651056,5,5,5
2011,1,2011-1,1.2437,7.76,6.165792359,37.5818,38.8226,4.420844493,3.133423005,5,6,6.75
2011,2,2011-2,1.2,7.76,7.29,37.8362,38.8226,4.420844493,3.133423005,5,6,6.75
2011,3,2011-3,1.16,7.76,7.61,37.9015,38.8226,4.420844493,3.133423005,6,6,6.75
2011,4,2011-4,0.87,7.76,8.16,37.9121,38.8226,3.2582886,3.133423005,6.25,6.75,6.75
2011,5,2011-5,0.22,7.76,8.03,38.0234,38.8226,3.2582886,3.133423005,6.75,6.75,6.75
2011,6,2011-6,1.02,7.76,9.32,38.0719,38.8226,3.2582886,3.133423005,6.75,6.75,6.75
2011,7,2011-7,0.85311818,7.76,9.871253765,38.1297,38.8226,2.800486597,3.133423005,6.75,6.75,6.75
2011,8,2011-8,0.5,7.76,10.18,38.1976,38.8226,2.800486597,3.133423005,6.75,6.75,6.75
2011,9,2011-9,0.21,7.76,9.57,38.2812,38.8226,2.800486597,3.133423005,6.75,6.75,6.75
2011,10,2011-10,0.03,7.76,8.87,38.4127,38.8226,2.106185233,3.133423005,6.75,6.75,6.75
2011,11,2011-11,0.09,7.76,8.63,38.5687,38.8226,2.106185233,3.133423005,6.75,6.75,6.75
2011,12,2011-12,0.11,7.76,7.76,38.8226,38.8226,2.106185233,3.133423005,6.75,6.75,6.75
2012,1,2012-1,0.44,3.906829993,6.9,38.9715,40.3967,3.139133007,2.7173679,6.75,6.75,5
2012,2,2012-2,0.35,3.906829993,6,39.0561,40.3967,3.139133007,2.7173679,6.75,6.75,5
2012,3,2012-3,0.147316085,3.906829993,4.944763375,39.0917,40.3967,3.139133007,2.7173679,6.75,6.75,5
2012,4,2012-4,0.009193712,3.906829993,4.044915878,39.0942,40.3967,2.451429857,2.7173679,6.75,6,5
2012,5,2012-5,-0.27,3.906829993,3.54,39.1193,40.3967,2.451429857,2.7173679,6.75,6,5
2012,6,2012-6,0.212001106,3.906829993,2.714295162,39.1419,40.3967,2.451429857,2.7173679,6,6,5
2012,7,2012-7,-0.2,3.906829993,1.64,39.1648,40.3967,2.763705825,2.7173679,6,5,5
2012,8,2012-8,1.013824885,3.906829993,2.16256525,39.2079,40.3967,2.763705825,2.7173679,5.5,5,5
2012,9,2012-9,0.647810219,3.906829993,2.604408892,39.3358,40.3967,2.763705825,2.7173679,5,5,5
2012,10,2012-10,0.235699393,3.906829993,2.81564412,39.7598,40.3967,2.52413365,2.7173679,5,5,5
2012,11,2012-11,0.633083115,3.906829993,3.373312647,40.2023,40.3967,2.52413365,2.7173679,5,5,5
2012,12,2012-12,0.629100386,3.906829993,3.906829993,40.3967,40.3967,2.52413365,2.7173679,5,5,5
